Region,Country,State/Province,City,Location Name,Screen AR,Digital Projector, max AR (Digital),Film Projector,Screen Dimensions,Commercial Films Shown,Venue Key,Chain,Website,Audio System,Address,Postal Code,Phone
Asia,China,,Changchun,Changchun Injoy Bestar & IMAX,,,,,,Yes,,InJoy Bestar,,,"4F, Injoy Plaza, No.1888 Haoyue Road, Lvyuan District",,
Asia,China,,"Chengdu, Sichuan Province",Chengdu Aegean Sea Jinyi & IMAX,,,,,,Yes,,Jinyi Cinema,http://www.jycinema.com/html/default/index.html,,"5F, Unit 1, Building 1, 919 Guoning East Road, Xipu District",,
Asia,Japan,,"Chiba-shi, Chiba",Aeon Makuhari Shin-toshin & IMAX,,,,,,Yes,,AEON Cinema,https://www.aeoncinema.com/cinema/makuhari/,,"1-1, Toyosuna, Mihama-ku",,
Asia,China,,Foshan,Foshan Sanshui Wanda & IMAX,,,,,,Yes,,Wanda Cinemas,https://m.wandacinemas.com/index/main.do,,"5F, Wanda Plaza, Block 13, Shangnanyazhu, Nanfeng Avenue, Sanshui District",,
Asia,China,,"Hangzhou, Zhejiang Province",Hangzhou City Garden Omnijoi & IMAX,,,,,,Yes,,Omnijoi,https://www.omnijoi.com/film_cinema.html,,"4th floor, Qibao Garden City, No.583 Jiuhe Road, Shangcheng District",,
Asia,China,,Hefei,Hefei Swan Lake Wanda & IMAX,,,,,,Yes,,Wanda Cinemas,https://www.china-travel-routes.com/anhui/a68117-the-mustvisit-reasons-for-wanda-plaza-hefei-swan-lake.html,,"4F, Wanda Plaza, No.3818 2nd Ring S, Zhengwu District",,
Asia,Japan,,Hiroshima,T-JOY Hiroshima Wald 11 & IMAX,,,,,,Yes,,T-Joy,https://kinezo.jp/pc/wald11,,"4th Floor, Aeon Mall Hiroshima, 2-1-1 Osu, Fuchu-cho, Aki-gun",,
Europe,Russia,,Kursk,Cinema 5 Kursk & IMAX,,,,,,Yes,,Cinema 5,https://cinema5.ru/kursk,,"Karla Marksa, d. 6",,
Asia,China,,Ningbo,Ningbo Zhenhai Injoy Bestar & IMAX,,,,,,Yes,,InJoy Bestar,,,"4F, Injoy Plaza , No.999 West Yongmao Road",,
Asia,China,,"Qujing, Yunnan",Qujing Wanda Cinema & IMAX,,,,,,Yes,,Wanda Cinemas,https://www.agoda.com/serene-giant-screen-cinema-hotel-qujing-wanda-bund-branch/hotel/qujing-cn.html,,"4F, Wanda Plaza , Xuefu Road",,
